1427,1279
11036,1494
41154,14337
424694,15237
57685,101
866,634
32868,9971
12543,1266
58857,12483
72051,26390
572468,20357
449176,27091
424694,16433
492188,1595
36799,21634
49519,15503
407655,14114
7220,272
357096,205
35595,18475
319888,8842
220029,26280
75301,21290
203739,25755
281957,12877
24653,240
9813,3875
273153,52538
20495,11937
307663,17478
54582,9798
39871,20128
493922,1126
12924,81
50270,21301
10472,10103
8461,3056
21168,15318
203739,9675
3875,570
339380,16433
14247,7555
2841,1427
11399,6477
273153,121950
186992,36423
27091,15708
370663,160781
378064,9953
12086,489
27799,10625
12162,9391
75780,11081
41171,10437
52538,10818
786,464
1913,462
41283,1538
74643,41747
33065,10882
74997,15775
77338,14247
31781,598
11399,6557
36915,25460
844,185
21634,20148
336882,11866
12109,2024
14313,594
15775,1024
51363,1572
34671,7862
11588,3511
449176,11171
121950,37636
50456,22080
412117,594
228165,18475
34671,15764
376867,20148
392044,48594
44564,4380
709614,20357
32171,797
51363,925
9401,1538
13373,12634
505225,20941
112479,24402
59700,11395
489925,70476
786,27
423899,24685
38349,4507
454467,26463
10195,7220
24685,769
50544,24363
844,769
52512,346
436391,21115
11208,2313
392044,18711
334541,16358
57825,39781
33403,5961
31781,10952
160781,10818
21634,18923
11372,613
169917,20912
25631,10045
5473,4133
76684,1259
34308,29592
9830,7972
11835,4836
64686,52512
14207,89
41714,949
24021,12583
15644,10017
10559,9830
235708,50270
1024,276
2288,802
457917,41847
35558,9528
581387,11658
11588,1586
59700,9479
5460,796
21301,103
8849,968
20125,957
10145,2832
34601,4771
400547,17651
27066,38
326359,9692
296524,11866
220029,17483
121950,28031
50270,11184
27576,19180
17899,12281
47120,14174
4253,269
112479,50270
146233,6947
15859,11036
192132,13416
8846,634
377154,40056
281957,23857
76163,10145
11423,11109
25313,9499
36091,1628
32298,521
449176,17651
74018,14024
318781,12086
332562,11399
457136,11162
500664,12140
449176,140
376867,36423
47120,22705
26579,979
15157,14114
1903,1280
11208,10472
